League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Summerside Western Capitals,1991,"Summerside, Prince Edward Island",Consolidated Credit Union Place,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Truro Bearcats,1997,"Truro, Nova Scotia",Rath Eastlink Community Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Valley Wildcats,1986,"Berwick, Nova Scotia",Kings Mutual Century Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Yarmouth Mariners,1976,"Yarmouth, Nova Scotia",Mariners Centre,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Blind River Beavers,Blind River,Blind River Community Centre,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Elliot Lake Vikings,Elliot Lake,Rogers Arena (Elliot Lake),,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Espanola Paper Kings,Espanola,Espanola Regional Recreation Complex,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,French River Rapids,Noelville,Noelville Arena,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Greater Sudbury Cubs,Sudbury,Countryside Sports Complex,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Hearst Lumberjacks,Hearst,Claude Larose Recreation Centre,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Iroquois Falls Storm,Iroquois Falls,Jus Jordan Arena,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Kirkland Lake Gold Miners,Kirkland Lake,Joe Mavrinac Community Complex,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Powassan Voodoos,Powassan,Powassan Sportsplex,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Soo Eagles,"Sault Ste. Marie, Michigan",Pullar Stadium,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Soo Thunderbirds,"Sault Ste. Marie, Ontario",John Rhodes Community Centre,,,,,,,,,,,,,,,
Northern Ontario Junior Hockey League,Northern_Ontario_Junior_Hockey_League.html,,Timmins Rock,Timmins,McIntyre Arena,,,,,,,,,,,,,,,
