League,Source file,Team,Centre,Home arena,Year Joined,Founded,1st Season,0,1,2,First season,3,4,5,Senior Teams,Formed
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Amherstburg Admirals,,,Amherstburg,1987,Libro Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Blenheim Blades,,,Blenheim,1968,Blenheim Community & Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Dresden Jr. Kings,,,Dresden,1959,Lambton-Kent Memorial Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Essex 73's,,,Essex,1973,Essex Centre Sports Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Lakeshore Canadiens,,,Belle River,1978,Atlas Tube Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Mooretown Flags,,,Mooretown,1971,Mooretown Sports Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Walpole Island Wild,,,Walpole Island,1972,Walpole Island Sports Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Wheatley Sharks,,,Wheatley,1995,Wheatley Area Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Yeck Division,Yeck Division,,Yeck Division,Yeck Division,Yeck Division,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Aylmer Spitfires,,,Aylmer,1974,East Elgin Community Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Exeter Hawks,,,Exeter,1961,South Huron Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Lucan Irish,,,Lucan,1968,Lucan Community Memorial Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Mount Brydges Bulldogs,,,Mount Brydges,1975,Tri-Township Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,North Middlesex Stars,,,Parkhill,1993,North Middlesex Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Petrolia Flyers,,,Petrolia,1988,Greenwood Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Port Stanley Sailors,,,Port Stanley,1969,Port Stanley Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Thamesford Trojans,,,Thamesford,1976,Thamesford Area Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,North Conference,North Conference,,North Conference,North Conference,North Conference,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Carruthers Division,Carruthers Division,,Carruthers Division,Carruthers Division,Carruthers Division,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Alliston Hornets,,,Alliston,1971,New Tecumseth Recreation Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Huntsville Otters,,,Huntsville,1990,Canada Summit Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Innisfil Spartans,,,Innisfil,2022,Innisfil Recreation Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Midland Flyers,,,Midland,1978,North Simcoe Sports & Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Muskoka Bears,,,Bracebridge,2024,Muskoka Lumber Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Orillia Terriers,,,Orillia,2013,West Orillia Sports Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Penetang Kings,,,Penetanguishene,1977,Penetanguishene Memorial Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Stayner Siskins,,,Stayner,1972,Stayner Memorial Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Pollock Division,Pollock Division,,Pollock Division,Pollock Division,Pollock Division,,
