League,Source file,0,1,2,3,4,5,6,Division,Team,Joined,Location,Arena,Conference
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,North,Hudson Havoc,2026.0,"Hudson, Wisconsin",Hudson Sports & Civic Center,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,North,Minnesota Blue Ox,2026.0,"Coon Rapids, Minnesota",Coon Rapids Ice Center,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,North,Minnesota Squatch,2026.0,"Elk River, Minnesota",Furniture-and-Things Community Event Center,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,North,Northwest Express,2026.0,"Spooner, Wisconsin",Spooner Civic Center,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,North,Wisconsin Rapids RiverKings,2026.0,"Wisconsin Rapids, Wisconsin",South Wood County Rec Center,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Casper Warbirds,2023.0,"Casper, Wyoming",Acord Ice Center,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Rock Springs Miners,2023.0,"Rock Springs, Wyoming",Rock Springs Ice Arena,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Utah Outliers,2023.0,"West Valley City, Utah",Acord Ice Center,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Bearcat Hockey Club,2026.0,"Lockport, New York",Cornerstone CFCU Arena,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Lewiston MAINEiacs,2025.0,"Lewiston, Maine",The Colisée,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Montreal Black Vees,2026.0,"Laval, Quebec",Colisée de Laval,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Northern Maine Pioneers,2025.0,"Presque Isle, Maine",The Forum,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,St. Stephen County Moose,2025.0,"St. Stephen, New Brunswick",Garcelon Civic Centre,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Thunder Hockey Club,2019.0,"Exeter, New Hampshire",The Rinks At Exeter,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Universel Quebec,2025.0,"Quebec City, Quebec",Seminaire Saint-Francois,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Woodstock Slammers,2025.0,"Woodstock, New Brunswick",AYR Motor Centre,Northeast
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Florida,Coral Springs Jr. Cats,2026.0,"Coral Springs, Florida",IceDen,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Florida,Florida Eels,2026.0,"Fort Myers, Florida",Fort Myers Skatium,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Florida,Florida Jr. Blades,2026.0,"Estero, Florida",Hertz Arena,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Florida,Florida Surge,2026.0,"Jacksonville, Florida",Community First Igloo,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Florida,Tampa Bay Juniors,2026.0,"Ellenton, Florida",Ellenton Ice,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Florida,Typhoon Hockey Club,2026.0,"Palm Beach, Florida",Palm Beach Skate Zone,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,South East,Carolina Jr. Hurricanes,2026.0,"Morrisville, North Carolina",Wake Competition Center,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,South East,Charleston Colonials,2026.0,"North Charleston, South Carolina",Carolina Ice Palace,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,South East,Charlotte Rush,2026.0,"Indian Trail, North Carolina",Extreme Ice Center,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,South East,Hampton Roads Whalers,2026.0,"Chesapeake, Virginia",Chilled Ponds Ice Sports Complex,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,South East,Potomac Patriots,2026.0,"Woodbridge, Virginia",Prince William Ice Center,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,South East,Yorktown Admirals,2026.0,"Yorktown, Virginia",Chilled Ponds Ice Center,South
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Fresno Monsters,2026.0,"Fresno, California",Gateway Ice Center,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Lake Tahoe Lakers,2026.0,"South Lake Tahoe, California",South Lake Tahoe Ice Arena,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,McCall Smokejumpers,2026.0,"McCall, Idaho",Manchester Ice and Event Centre,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Ontario Jr. Reign,2026.0,"Ontario, California",Ontario Ice Skating Center,Mountain
